,Open,High,Low,Close,Adj Close,Volume,Return,20D_MA,50D_MA,200D_MA,Momentum,Volatility,RSI,GDP,Interest Rate,PCE,UNRATE,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,ADS_Lag1,ADS_Rolling
2020-01-31,338.03999982561385,343.25571695963544,333.3933323451451,338.8328566778274,338.8328566778274,8089238.095238095,0.002548928368914494,338.90199966430663,356.06407681978664,436.9865498860677,-2.2381555410531835,0.022048819463366114,0.02694503543893403,21727.657,1.59,14844.3,3.6,-8.13,0.04,-3.8,-1.49,-2.52,0.12,-0.11333224612903227,-0.11333224612903227,-5.157236369051539
2020-02-01,338.03999982561385,343.25571695963544,333.3933323451451,338.8328566778274,338.8328566778274,8089238.095238095,0.002548928368914494,338.90199966430663,356.06407681978664,436.9865498860677,-2.2381555410531835,0.022048819463366114,0.02694503543893403,21727.657,1.59,14844.3,3.6,-8.13,0.04,-3.8,-1.49,-2.52,0.12,-0.11333224612903227,-0.11333224612903227,-5.157236369051539
2020-02-29,372.12736591539885,379.4821038497122,367.61105186060854,373.98842259457234,373.98842259457234,6002947.368421053,0.0037437543738910377,357.53550133956105,356.06407681978664,436.9865498860677,-2.2381555410531835,0.022048819463366114,0.020548479652290532,21727.657,1.58,14833.8,3.5,-8.13,0.04,-3.8,-1.49,-2.52,0.12,-0.9194423448965516,-0.11333224612903227,-5.157236369051539
2020-03-01,372.12736591539885,379.4821038497122,367.61105186060854,373.98842259457234,373.98842259457234,6002947.368421053,0.0037437543738910377,357.53550133956105,356.06407681978664,436.9865498860677,-2.2381555410531835,0.022048819463366114,0.020548479652290532,21727.657,1.58,14833.8,3.5,-13.39,-8.24,-13.88,-1.56,1.26,0.13,-0.9194423448965516,-0.11333224612903227,-5.157236369051539
2020-03-31,349.6186343106356,361.8549985018644,339.3731869784269,350.587270563299,350.587270563299,9180868.181818182,0.0021990138075789604,362.22806694724346,356.06407681978664,436.9865498860677,-2.2381555410531835,0.0365567623685944,0.04772794069335396,21727.657,0.08,13810.5,4.4,-13.39,-8.24,-13.88,-1.56,1.26,0.13,-14.438934516129033,-0.9194423448965516,-5.157236369051539
2020-04-01,349.6186343106356,361.8549985018644,339.3731869784269,350.587270563299,350.587270563299,9180868.181818182,0.0021990138075789604,362.22806694724346,356.06407681978664,436.9865498860677,-2.2381555410531835,0.0365567623685944,0.04772794069335396,21727.657,0.08,13810.5,4.4,13.65,2.56,-1.34,2.73,-1.03,0.0,-14.438934516129033,-0.9194423448965516,-5.157236369051539
2020-04-30,402.6885710216704,411.8776201520647,394.84476289295014,404.3109508696057,404.3109508696057,10719600.0,0.0057715064138882865,373.1017829531715,367.3062556675502,436.9865498860677,5.795527285621279,0.04585331290516069,0.035912403171082755,19935.444,0.05,12234.4,14.8,13.65,2.56,-1.34,2.73,-1.03,0.0,-22.83871333333333,-14.438934516129033,-12.732363398119638
2020-05-01,402.6885710216704,411.8776201520647,394.84476289295014,404.3109508696057,404.3109508696057,10719600.0,0.0057715064138882865,373.1017829531715,367.3062556675502,436.9865498860677,5.795527285621279,0.04585331290516069,0.035912403171082755,19935.444,0.05,12234.4,14.8,5.58,1.99,-4.85,0.93,-3.24,0.01,-22.83871333333333,-14.438934516129033,-12.732363398119638
2020-05-31,433.8804992675781,440.0989990234375,426.64850158691405,433.29400024414065,433.29400024414065,6752790.0,0.00013625888872205173,426.1614491271973,390.18688812255857,436.9865498860677,35.97456100463868,0.026345340287379466,0.01970225213293869,19935.444,0.05,13251.7,13.2,5.58,1.99,-4.85,0.93,-3.24,0.01,1.7861329354838709,-22.83871333333333,-11.830504971326164
2020-06-01,433.8804992675781,440.0989990234375,426.64850158691405,433.29400024414065,433.29400024414065,6752790.0,0.00013625888872205173,426.1614491271973,390.18688812255857,436.9865498860677,35.97456100463868,0.026345340287379466,0.01970225213293869,19935.444,0.05,13251.7,13.2,2.46,1.97,-2.23,0.13,0.53,0.01,1.7861329354838709,-22.83871333333333,-11.830504971326164
